Timestamp,delivery_count,share_size,delivery_method,known_csf,csf_impact,grocery_influence,necessary_grocery,grocery_budget,covid_end,found_out,primary_motivations,seafood_quality,frozen_seafood,seafood_types,pickup_experience,pick_location,customer_service,recipes,home_delivery,special_order,website_experience,cooking_seafood,economic_health,fisher_livelihood,ocean_health,less_waste,fisher_access,species_education,member_events,nonseafood_addons,ocean_connection,community_connection,fisher_connection,affected_health,fair_price,recommend,other_csf,feedback,gender,age,household_number,grocery_expenditure ,income,name,
4/24/2020 12:55:02,10 or more,Small,At a pick up location,Yes,Large Positive Impact,Greatly Influenced,Yes,Increased,Likely to continue,"Friend, Axxess card","Quality/freshness, Environmental sustainabilty, Supporting the local economy",very satisfied,very satisfied,very satisfied,satisfied,satisfied,satisfied,it's ok,N/A,it's ok,it's ok,do-able,important,highly important,highly important,important,important,important,important,not important,somewhat more than before,the same/not at all,somewhat more than before,much more than before,"Yes, it's fair",I already have,Yes,,Female,25-34,2,$101 - $150,$50 - $100K,,
4/24/2020 12:55:57,10 or more,Small,At a pick up location,Yes,Slight Positive Impact,Did not influence,"No, it is extra",No Change,Likely to continue,Social Media,"Quality/freshness, Access to variety or hard to find products, Supporting the local economy",very satisfied,very satisfied,slightly unsatisfied,very satisfied,very satisfied,very satisfied,very satisfied,N/A,very satisfied,very satisfied,exactly what I want,somewhat important,somewhat important,important,somewhat important,somewhat important,important,indifferent,indifferent,the same/not at all,the same/not at all,the same/not at all,the same/not at all,"Yes, it's fair",I already have,No,,Male,25-34,2,$201 - $250,Over $250K,,
4/24/2020 12:56:19,1-3,Small,At a pick up location,Yes,Slight Positive Impact,Did not influence,"No, it is extra",No Change,Not sure,Molly @ Live Oak Cafe,New service ,satisfied,satisfied,satisfied,slightly unsatisfied,satisfied,satisfied,it's ok,N/A,very unsatisfied,it's ok,do-able,indifferent,important,important,important,important,important,indifferent,somewhat important,the same/not at all,somewhat more than before,the same/not at all,the same/not at all,It's a little overpriced,Too early to tell,No,"Website a bit challenging- and expectations of what is delivered on special order form-
One of my orders was not at all what I ordered- gave extra away was not interested in freezing
",Female,65+,2,$51 - $100,Rather not say,,
4/24/2020 12:56:49,10 or more,Small,Home delivery,Yes,Neutral,Greatly Influenced,Sometimes,Increased,Likely to continue,Social Media,"Quality/freshness, Environmental sustainabilty, Connecting to community, Trustworthy/transparent sourcing",very satisfied,very satisfied,satisfied,satisfied,satisfied,very satisfied,very satisfied,very satisfied,satisfied,satisfied,exactly what I want,highly important,highly important,highly important,highly important,highly important,highly important,important,important,somewhat more than before,much more than before,much more than before,somewhat more than before,"Yes, it's fair",I already have,Yes,,Male,35-44,2,$51 - $100,$201 - $250K,Joseph Hallaux,
4/24/2020 12:57:37,4-6,Small,At a pick up location,Yes,Neutral,Did not influence,Sometimes,Increased,Likely to continue,"Friend, Newcomers","Quality/freshness, Access to variety or hard to find products, Environmental sustainabilty, Connecting to community",very satisfied,very satisfied,satisfied,very satisfied,very satisfied,very satisfied,satisfied,N/A,very satisfied,N/A,exactly what I want,important,highly important,highly important,highly important,highly important,somewhat important,somewhat important,somewhat important,somewhat more than before,somewhat more than before,much more than before,somewhat more than before,"Yes, it's fair",I already have,No,,Female,65+,1,<$50,Rather not say,,
4/24/2020 12:57:53,10 or more,Small,At a pick up location,Yes,Neutral,Slightly Influenced,Yes,Increased,Likely to continue,You guys came over our offices (linkedin Carp),"Quality/freshness, Environmental sustainabilty, Connecting to community, Education about fisheries, cooking and/or the ocean, Supporting the local economy",very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,N/A,very satisfied,very satisfied,exactly what I want,important,important,important,important,important,important,important,important,much more than before,somewhat more than before,much more than before,somewhat more than before,"Yes, it's fair",I already have,No,,Male,35-44,4,$151 - $200,$201 - $250K,,
4/24/2020 12:57:54,10 or more,Small,At a pick up location,Yes,Neutral,Greatly Influenced,Yes,No Change,Likely to continue,Friend,"Quality/freshness, Personal health, Environmental sustainabilty",very satisfied,very satisfied,satisfied,satisfied,satisfied,slightly unsatisfied,N/A,N/A,N/A,it's ok,N/A,highly important,highly important,highly important,highly important,highly important,highly important,indifferent,indifferent,somewhat more than before,much more than before,somewhat more than before,somewhat more than before,"Yes, it's fair",Likely,Yes,I did not get my seafood order yesterday. (It was not in the thermos). I emailed to ask for a refund and have not heard back.,Female,55-64,1,$101 - $150,Rather not say,,
4/24/2020 12:57:55,10 or more,Small,At a pick up location,Yes,Neutral,Slightly Influenced,"No, it is extra",Increased,Not sure,Friend,"Quality/freshness, Environmental sustainabilty, Connecting to community",satisfied,it's ok,slightly unsatisfied,very satisfied,satisfied,N/A,it's ok,N/A,N/A,it's ok,do-able,highly important,important,highly important,highly important,somewhat important,important,somewhat important,not important,much more than before,much more than before,much more than before,somewhat more than before,"Yes, it's fair",Likely,No,,Female,25-34,1,$51 - $100,$50 - $100K,,
4/24/2020 12:58:03,10 or more,Large,At a pick up location,Yes,Neutral,Did not influence,Yes,No Change,Likely to continue,Friend,"Quality/freshness, Personal health, Environmental sustainabilty",very satisfied,satisfied,satisfied,satisfied,satisfied,very satisfied,satisfied,N/A,satisfied,satisfied,easy,highly important,highly important,highly important,highly important,highly important,important,somewhat important,somewhat important,somewhat more than before,somewhat more than before,much more than before,somewhat more than before,"Yes, it's fair",I already have,No,,Male,45-54,2,$101 - $150,Over $250K,,
4/24/2020 12:58:30,10 or more,Small,At a pick up location,Yes,Large Positive Impact,Did not influence,"No, it is extra",No Change,Likely to continue,Friend,"Quality/freshness, Convenience, Opportunity to try new kinds of fish. ",satisfied,satisfied,very satisfied,very satisfied,very satisfied,very satisfied,satisfied,N/A,N/A,satisfied,easy,important,important,highly important,highly important,important,somewhat important,indifferent,indifferent,somewhat more than before,somewhat more than before,somewhat more than before,much more than before,"Yes, it's fair",I already have,No,,Female,55-64,2,$151 - $200,$101 - $150K,,
4/24/2020 12:59:01,4-6,Small,At a pick up location,Yes,Neutral,Did not influence,Sometimes,Increased,Likely to continue,axxess card,"Environmental sustainabilty, Education about fisheries, cooking and/or the ocean, Supporting the local economy",very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,satisfied,N/A,N/A,very satisfied,easy,highly important,highly important,highly important,important,important,important,indifferent,somewhat important,much more than before,the same/not at all,the same/not at all,somewhat more than before,It's a little overpriced,I already have,No,New to the area so I really like learning about new types of seafood and what's available locally!,Female,25-34,1,$51 - $100,< $50K,,
4/24/2020 12:59:01,10 or more,Medium,At a pick up location,Yes,Neutral,Did not influence,Yes,No Change,Likely to continue,Friend,"Quality/freshness, Taking a decision out of your meal planning, Supporting the local economy",very satisfied,N/A,very satisfied,very satisfied,very satisfied,very satisfied,it's ok,N/A,N/A,satisfied,exactly what I want,highly important,highly important,highly important,highly important,highly important,highly important,indifferent,indifferent,the same/not at all,the same/not at all,the same/not at all,the same/not at all,"Yes, it's fair",I already have,No,,Female,65+,2,Rather not say,Rather not say,Ginny Kuga,
4/24/2020 12:59:49,10 or more,Small,At a pick up location,Yes,Slight Negative Impact,Did not influence,"No, it is extra",No Change,Likely to continue,Friend,"Quality/freshness, Access to variety or hard to find products, Environmental sustainabilty, Connecting to community, Education about fisheries, cooking and/or the ocean, Supporting the local economy",very satisfied,satisfied,very satisfied,very satisfied,very satisfied,it's ok,satisfied,N/A,very satisfied,very satisfied,exactly what I want,important,important,highly important,highly important,highly important,highly important,indifferent,indifferent,much more than before,somewhat more than before,much more than before,somewhat more than before,It's overpriced,Likely,No,,Male,55-64,2,$101 - $150,$201 - $250K,Bob Stoughton,
4/24/2020 12:59:56,10 or more,Medium,At a pick up location,Yes,Neutral,Slightly Influenced,Sometimes,Increased,Likely to continue,Friend,"Quality/freshness, Trustworthy/transparent sourcing, Taking a decision out of your meal planning",satisfied,satisfied,satisfied,very satisfied,very satisfied,very satisfied,satisfied,N/A,satisfied,satisfied,easy,highly important,highly important,highly important,highly important,highly important,important,somewhat important,not important,the same/not at all,somewhat more than before,somewhat more than before,the same/not at all,"Yes, it's fair",I already have,No,,Male,25-34,1,$51 - $100,$50 - $100K,Anthony Shiao,
4/24/2020 13:00:23,10 or more,Medium,At a pick up location,Yes,Slight Positive Impact,Did not influence,Yes,Increased,Likely to continue,News Media,"Quality/freshness, Personal health, Environmental sustainabilty",very satisfied,very satisfied,very satisfied,satisfied,satisfied,satisfied,N/A,N/A,very satisfied,very satisfied,exactly what I want,highly important,highly important,highly important,highly important,important,highly important,important,important,somewhat more than before,somewhat more than before,somewhat more than before,somewhat more than before,"Yes, it's fair",I already have,Yes,Thanks!,Male,35-44,2,$201 - $250,$151 - $200K,,
4/24/2020 13:00:34,10 or more,Small,Home delivery,Yes,Slight Positive Impact,Greatly Influenced,Yes,Increased,Likely to continue,Friend,"Quality/freshness, Environmental sustainabilty, Connecting to community, Education about fisheries, cooking and/or the ocean, Convenience, Trustworthy/transparent sourcing, Taking a decision out of your meal planning, Supporting the local economy",very satisfied,very satisfied,very satisfied,N/A,N/A,very satisfied,satisfied,satisfied,satisfied,very satisfied,easy,highly important,highly important,highly important,highly important,highly important,highly important,indifferent,highly important,somewhat more than before,somewhat more than before,somewhat more than before,somewhat more than before,It's a little overpriced,I already have,Yes,We love you guys. Thank you! Please continuing offering quality add ons!! ,Female,35-44,4,$151 - $200,$151 - $200K,,
4/24/2020 13:00:59,10 or more,Small,At a pick up location,Yes,Slight Positive Impact,Did not influence,Yes,Increased,Likely to continue,Direct from the source - Kim and Victoria - when they were launching the business.,"Quality/freshness, Price, Personal health, Environmental sustainabilty, Connecting to community, Convenience, Trustworthy/transparent sourcing, Taking a decision out of your meal planning, Supporting the local economy",satisfied,satisfied,satisfied,satisfied,very satisfied,very satisfied,satisfied,N/A,satisfied,satisfied,exactly what I want,highly important,highly important,highly important,highly important,highly important,highly important,important,somewhat important,much more than before,the same/not at all,much more than before,the same/not at all,"Yes, it's fair",I already have,Yes,"A little disappointed to see the crabs were in plastic bags this week - I know its challenging to transport these via your current system to delivery/pick up, but live crabs, lobsters, etc shouldn't be stored in closed plastic bags unless they have lots of holes for them to breathe - and not sure they should be in a closed cooler for the same reason. Picked mine up on the earlier side of the pick up time frame and when we got them home, they were barely alive. Had to cook them right away to ensure they'd still be good. Don't know if theres a solution to this, but don't think I'll be ordering live shellfish unless this is resolved.",Female,35-44,2,$151 - $200,$101 - $150K,,
4/24/2020 13:01:04,10 or more,Medium,Home delivery,Yes,Neutral,Did not influence,Yes,No Change,Likely to continue,Current member,"Quality/freshness, Environmental sustainabilty, Connecting to community, Convenience, Supporting the local economy",very satisfied,very satisfied,satisfied,satisfied,very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,easy,highly important,highly important,highly important,highly important,highly important,highly important,highly important,highly important,the same/not at all,somewhat more than before,the same/not at all,the same/not at all,"Yes, it's fair",I already have,Yes,,Female,55-64,1,Rather not say,Rather not say,,
4/24/2020 13:01:28,10 or more,Small,At a pick up location,Yes,Slight Negative Impact,Did not influence,"No, it is extra",No Change,Likely to continue,Draughtsman facebook page,"Quality/freshness, Environmental sustainabilty, Convenience, Trustworthy/transparent sourcing, Supporting the local economy",very satisfied,very satisfied,it's ok,very satisfied,very satisfied,satisfied,N/A,N/A,it's ok,satisfied,exactly what I want,important,somewhat important,important,somewhat important,somewhat important,not important,not important,not important,somewhat more than before,the same/not at all,the same/not at all,the same/not at all,It's a little overpriced,I already have,No,,Male,45-54,2,Rather not say,Rather not say,,
4/24/2020 13:01:35,10 or more,Medium,At a pick up location,Yes,Neutral,Did not influence,Yes,Increased,Likely to continue,News Media,"Environmental sustainabilty, Taking a decision out of your meal planning, Supporting the local economy",very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,N/A,very satisfied,satisfied,exactly what I want,highly important,highly important,highly important,highly important,highly important,highly important,not important,somewhat important,much more than before,somewhat more than before,somewhat more than before,somewhat more than before,"Yes, it's fair",I already have,Yes,Thank you! ,Female,25-34,2,$51 - $100,$101 - $150K,,
4/24/2020 13:02:03,4-6,Medium,Home delivery,Yes,Neutral,Greatly Influenced,Sometimes,Increased,Likely to continue,Social Media,"Quality/freshness, Personal health, Environmental sustainabilty, Connecting to community, Education about fisheries, cooking and/or the ocean, Supporting the local economy",very satisfied,very satisfied,it's ok,satisfied,very satisfied,very satisfied,N/A,very satisfied,slightly unsatisfied,very satisfied,exactly what I want,highly important,highly important,highly important,highly important,highly important,highly important,indifferent,important,somewhat more than before,much more than before,much more than before,much more than before,"Yes, it's fair",I already have,Yes,,Female,25-34,2,$101 - $150,$151 - $200K,,
4/24/2020 13:02:15,10 or more,Small,Home delivery,Yes,Neutral,Greatly Influenced,Yes,Increased,Likely to continue,Friend,"Quality/freshness, Environmental sustainabilty, Trustworthy/transparent sourcing",very unsatisfied,N/A,satisfied,very satisfied,very satisfied,satisfied,N/A,very satisfied,very satisfied,very satisfied,easy,highly important,highly important,highly important,highly important,highly important,important,somewhat important,important,somewhat more than before,somewhat more than before,somewhat more than before,the same/not at all,"Yes, it's fair",I already have,Yes,,Female,55-64,2,$101 - $150,$50 - $100K,,
4/24/2020 13:02:49,10 or more,Large,At a pick up location,Yes,Neutral,Did not influence,Yes,No Change,Likely to continue,"Friend, Current member, Social Media","Quality/freshness, Access to variety or hard to find products, Environmental sustainabilty, Connecting to community, Trustworthy/transparent sourcing",very satisfied,satisfied,very satisfied,very satisfied,very satisfied,very satisfied,it's ok,N/A,very satisfied,very satisfied,do-able,highly important,highly important,highly important,highly important,highly important,highly important,not important,not important,the same/not at all,somewhat more than before,somewhat more than before,the same/not at all,It's a little overpriced,I already have,No,,Female,25-34,2,$101 - $150,$50 - $100K,,
4/24/2020 13:03:43,10 or more,Small,At a pick up location,Yes,Large Positive Impact,Slightly Influenced,Yes,Increased,Likely to continue,Epicurean Santa Barbara,"Quality/freshness, Access to variety or hard to find products, Personal health, Environmental sustainabilty, Connecting to community, Education about fisheries, cooking and/or the ocean, Trustworthy/transparent sourcing, Supporting the local economy",very satisfied,N/A,satisfied,satisfied,it's ok,very satisfied,satisfied,N/A,it's ok,it's ok,exactly what I want,highly important,highly important,highly important,highly important,highly important,highly important,indifferent,indifferent,somewhat more than before,somewhat more than before,much more than before,the same/not at all,"Yes, it's fair",I already have,No,,Female,25-34,2,$151 - $200,Over $250K,Cassandra Glanville,
4/24/2020 13:04:46,10 or more,Small,Home delivery,Yes,Large Positive Impact,Did not influence,Yes,No Change,Likely to continue,News Media,"Quality/freshness, Trustworthy/transparent sourcing, Supporting the local economy",very satisfied,very satisfied,very satisfied,N/A,N/A,very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,exactly what I want,highly important,highly important,highly important,highly important,highly important,highly important,somewhat important,somewhat important,much more than before,much more than before,much more than before,much more than before,"Yes, it's fair",I already have,No,Love your service!,Female,55-64,2,$151 - $200,Rather not say,Leslie Kent kunkel,
4/24/2020 13:05:14,10 or more,Medium,At a pick up location,Yes,Slight Negative Impact,Did not influence,Sometimes,Increased,Likely to continue,Friend,"Environmental sustainabilty, Connecting to community, Education about fisheries, cooking and/or the ocean",very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,N/A,N/A,N/A,exactly what I want,highly important,highly important,highly important,highly important,highly important,important,important,not important,the same/not at all,somewhat more than before,much more than before,the same/not at all,It's a little overpriced,I already have,No,,Male,35-44,2,$151 - $200,$101 - $150K,,
4/24/2020 13:05:43,10 or more,Small,At a pick up location,Yes,Slight Positive Impact,Did not influence,"No, it is extra",No Change,Likely to continue,"Originally, I think we learned through emails to UCSB staff. We started at the beginning","Quality/freshness, Environmental sustainabilty, Supporting the local economy",very satisfied,very satisfied,satisfied,very satisfied,very satisfied,very satisfied,very satisfied,N/A,very satisfied,very satisfied,exactly what I want,highly important,highly important,highly important,highly important,highly important,highly important,somewhat important,somewhat important,much more than before,somewhat more than before,much more than before,somewhat more than before,"Yes, it's fair",I already have,No,We love Get Hooked.  Even though the prices are higher than supermarkets we are happy to pay to support the local fishing industry and sustainable practices.  We also love getting fresh seafood on a regular basis.,Male,55-64,2,$101 - $150,$101 - $150K,Mark Weinsoff (Connie Weinsoff subscriber) she may fill out questionaire too as we get separate emails,
4/24/2020 13:06:02,10 or more,Small,Home delivery,Yes,Neutral,Did not influence,Yes,Increased,Likely to continue,Plow to porch,"Quality/freshness, Trustworthy/transparent sourcing, Supporting the local economy",very satisfied,N/A,it's ok,N/A,N/A,very satisfied,satisfied,very satisfied,satisfied,satisfied,easy,important,highly important,highly important,important,important,somewhat important,not important,somewhat important,somewhat more than before,somewhat more than before,somewhat more than before,the same/not at all,"Yes, it's fair",I already have,Yes,,Female,35-44,2,$101 - $150,Over $250K,,
4/24/2020 13:08:34,10 or more,Medium,At a pick up location,Yes,Slight Positive Impact,Did not influence,"No, it is extra",Increased,Likely to continue,Physical Flier,"Quality/freshness, Trustworthy/transparent sourcing, Supporting the local economy",very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,N/A,very satisfied,very satisfied,exactly what I want,highly important,highly important,highly important,highly important,highly important,somewhat important,not important,not important,somewhat more than before,somewhat more than before,much more than before,much more than before,"Yes, it's fair",I already have,Yes,,Female,25-34,2,$101 - $150,$151 - $200K,,
4/24/2020 13:08:55,10 or more,Small,At a pick up location,Yes,Large Positive Impact,Did not influence,Yes,No Change,Likely to continue,"Friend, Current member","Quality/freshness, Price, Personal health, Environmental sustainabilty, Connecting to community, Education about fisheries, cooking and/or the ocean, Convenience, Trustworthy/transparent sourcing, Supporting the local economy",very satisfied,very satisfied,very satisfied,satisfied,satisfied,very satisfied,very satisfied,N/A,very satisfied,N/A,exactly what I want,highly important,highly important,highly important,highly important,highly important,highly important,indifferent,important,much more than before,much more than before,it's changed my life,much more than before,"Yes, it's fair",I already have,Yes,"I love it.  I love to cook and experiment.  So much fun, a challenge, healthy and supports the local fishermen.  Fabulous. ",Female,65+,2,Rather not say,Rather not say,martha flournoy,
4/24/2020 13:09:38,10 or more,Small,At a pick up location,Yes,Slight Positive Impact,Did not influence,Yes,No Change,Likely to continue,Friend,"Quality/freshness, Access to variety or hard to find products, Personal health, Environmental sustainabilty, Connecting to community, Education about fisheries, cooking and/or the ocean, Convenience, Trustworthy/transparent sourcing, Taking a decision out of your meal planning, Supporting the local economy",very satisfied,N/A,satisfied,very satisfied,very satisfied,very satisfied,very satisfied,N/A,very satisfied,very satisfied,challenging,highly important,highly important,highly important,highly important,important,important,important,indifferent,much more than before,much more than before,much more than before,much more than before,"Yes, it's fair",I already have,Yes,You are doing a great job. Keep it up and I'll support you as much as i can.,Female,65+,2,Rather not say,$151 - $200K,Bobbie,
4/24/2020 13:10:16,7-9,Medium,At a pick up location,No,Large Positive Impact,Slightly Influenced,"No, it is extra",Increased,Likely to continue,News Media,"Quality/freshness, Taking a decision out of your meal planning, Supporting the local economy",very satisfied,very satisfied,satisfied,very satisfied,very satisfied,very satisfied,very satisfied,N/A,it's ok,satisfied,exactly what I want,highly important,highly important,important,important,not important,not important,not important,not important,much more than before,somewhat more than before,somewhat more than before,somewhat more than before,"Yes, it's fair",I already have,No,,Male,55-64,2,$250+,Rather not say,,
4/24/2020 13:12:41,7-9,Small,At a pick up location,Yes,Slight Positive Impact,Did not influence,Yes,Increased,Likely to continue,"Friend, Current member, Physical Flier","Quality/freshness, Personal health, Environmental sustainabilty, Connecting to community, Education about fisheries, cooking and/or the ocean, Convenience, Supporting the local economy",very satisfied,N/A,it's ok,very satisfied,very satisfied,very satisfied,satisfied,N/A,satisfied,satisfied,exactly what I want,highly important,highly important,highly important,highly important,highly important,highly important,indifferent,indifferent,somewhat more than before,much more than before,much more than before,somewhat more than before,It's a little overpriced,I already have,No,,Female,25-34,2,$101 - $150,$50 - $100K,,
4/24/2020 13:13:04,10 or more,Medium,Home delivery,Yes,Slight Positive Impact,Did not influence,Sometimes,No Change,Likely to continue,Friend,"Quality/freshness, Environmental sustainabilty, Education about fisheries, cooking and/or the ocean, Taking a decision out of your meal planning, Supporting the local economy",very satisfied,very satisfied,satisfied,very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,it's ok,satisfied,exactly what I want,highly important,important,highly important,highly important,highly important,highly important,indifferent,somewhat important,somewhat more than before,somewhat more than before,much more than before,somewhat more than before,"Yes, it's fair",I already have,No,,Male,25-34,2,$51 - $100,$50 - $100K,,
4/24/2020 13:13:39,7-9,Medium,At a pick up location,Yes,Slight Negative Impact,Slightly Influenced,Sometimes,No Change,Not sure,News Media,"Environmental sustainabilty, Supporting the local economy",satisfied,it's ok,it's ok,satisfied,satisfied,satisfied,satisfied,N/A,N/A,satisfied,do-able,important,highly important,important,somewhat important,somewhat important,somewhat important,somewhat important,not important,the same/not at all,the same/not at all,the same/not at all,the same/not at all,"Yes, it's fair",Likely,No,,Female,65+,3,$51 - $100,$50 - $100K,,
4/24/2020 13:13:41,10 or more,Small,At a pick up location,Yes,Neutral,Did not influence,Yes,Increased,Likely to continue,Friend,"Quality/freshness, Price, Environmental sustainabilty",very satisfied,very satisfied,very satisfied,satisfied,very satisfied,very satisfied,very satisfied,N/A,it's ok,satisfied,exactly what I want,highly important,highly important,highly important,highly important,highly important,somewhat important,not important,somewhat important,the same/not at all,the same/not at all,somewhat more than before,the same/not at all,"Yes, it's fair",I already have,No,,Female,55-64,3,$101 - $150,$201 - $250K,,
